I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.306,0.774,0.468,,,,,,,,,
0.326,0.773,0.447,,,,,,,,,
0.332,0.761,0.428,,,,,,,,,
0.342,0.749,0.406,,,,,,,,,
0.363,0.741,0.378,,,,,,,,,
0.389,0.735,0.345,,,,,,,,,
0.415,0.725,0.31,,,,,,,,,
0.444,0.717,0.272,,,,,,,,,
0.484,0.715,0.23,,,,,,,,,
0.53,0.716,0.186,,,,,,,,,
0.557,0.702,0.145,,,,,,,,,
0.553,0.663,0.109,,,,,,,,,
0.53,0.609,0.079,,,,,,,,,
0.51,0.562,0.05,,,,,,,,,
0.505,0.529,0.022,,,,,,,,,
0.505,0.499,-0.007,,,,,,,,,
0.494,0.456,-0.037,,,,,,,,,
0.465,0.406,-0.059,,,,,,,,,
0.426,0.363,-0.063,,,,,,,,,
0.379,0.334,-0.045,,,,,,,,,
0.323,0.313,-0.009,,,,,,,,,
0.258,0.29,0.031,,,,,,,,,
0.192,0.264,0.072,,,,,,,,,
0.132,0.243,0.111,,,,,,,,,
0.084,0.23,0.146,,,,,,,,,
0.053,0.222,0.169,,,,,,,,,
0.04,0.217,0.176,,,,,,,,,
0.037,0.209,0.171,,,,,,,,,
0.03,0.195,0.165,,,,,,,,,
0.011,0.174,0.163,,,,,,,,,
-0.014,0.147,0.162,,,,,,,,,
-0.036,0.119,0.156,,,,,,,,,
-0.049,0.094,0.144,,,,,,,,,
-0.054,0.073,0.128,,,,,,,,,
-0.054,0.057,0.112,,,,,,,,,
-0.054,0.044,0.098,,,,,,,,,
-0.055,0.031,0.087,,,,,,,,,
-0.059,0.019,0.078,,,,,,,,,
-0.063,0.007,0.071,,,,,,,,,
-0.066,0.0,0.065,,,,,,,,,
-0.065,-0.005,0.06,,,,,,,,,
-0.064,-0.01,0.054,,,,,,,,,
-0.062,-0.014,0.048,,,,,,,,,
-0.061,-0.018,0.042,,,,,,,,,
-0.058,-0.022,0.036,,,,,,,,,
-0.056,-0.025,0.03,,,,,,,,,
-0.055,-0.03,0.024,,,,,,,,,
-0.053,-0.034,0.018,,,,,,,,,
-0.051,-0.037,0.013,,,,,,,,,
-0.049,-0.041,0.008,,,,,,,,,
-0.048,-0.045,0.004,,,,,,,,,
-0.049,-0.049,0.0,,,,,,,,,
-0.05,-0.054,-0.003,,,,,,,,,
-0.051,-0.058,-0.007,,,,,,,,,
-0.048,-0.06,-0.011,,,,,,,,,
-0.043,-0.058,-0.015,,,,,,,,,
-0.036,-0.055,-0.019,,,,,,,,,
-0.031,-0.054,-0.022,,,,,,,,,
-0.028,-0.054,-0.026,,,,,,,,,
-0.023,-0.054,-0.031,,,,,,,,,
-0.017,-0.052,-0.035,,,,,,,,,
-0.011,-0.05,-0.039,,,,,,,,,
-0.009,-0.049,-0.04,,,,,,,,,
-0.009,-0.05,-0.04,,,,,,,,,
-0.01,-0.05,-0.04,,,,,,,,,
-0.009,-0.049,-0.039,,,,,,,,,
-0.007,-0.046,-0.039,,,,,,,,,
-0.002,-0.042,-0.04,,,,,,,,,
0.0,-0.039,-0.04,,,,,,,,,
-0.004,-0.044,-0.039,,,,,,,,,
-0.018,-0.058,-0.039,,,,,,,,,
-0.035,-0.075,-0.039,,,,,,,,,
-0.047,-0.087,-0.039,,,,,,,,,
-0.051,-0.091,-0.04,,,,,,,,,
-0.05,-0.09,-0.04,,,,,,,,,
-0.049,-0.089,-0.039,,,,,,,,,
-0.05,-0.09,-0.039,,,,,,,,,
-0.049,-0.089,-0.04,,,,,,,,,
-0.049,-0.089,-0.04,,,,,,,,,
-0.05,-0.09,-0.039,,,,,,,,,
-0.05,-0.09,-0.039,,,,,,,,,
-0.049,-0.089,-0.04,,,,,,,,,
-0.049,-0.089,-0.04,,,,,,,,,
-0.05,-0.09,-0.039,,,,,,,,,
-0.05,-0.09,-0.039,,,,,,,,,
-0.049,-0.089,-0.04,,,,,,,,,
-0.048,-0.088,-0.04,,,,,,,,,
-0.05,-0.09,-0.04,,,,,,,,,
-0.052,-0.092,-0.039,,,,,,,,,
-0.054,-0.094,-0.039,,,,,,,,,
-0.053,-0.093,-0.04,,,,,,,,,
-0.05,-0.09,-0.04,,,,,,,,,
-0.046,-0.086,-0.039,,,,,,,,,
-0.043,-0.083,-0.039,,,,,,,,,
-0.041,-0.081,-0.04,,,,,,,,,
-0.038,-0.078,-0.04,,,,,,,,,
-0.035,-0.075,-0.039,,,,,,,,,
-0.03,-0.07,-0.039,,,,,,,,,
-0.027,-0.067,-0.04,,,,,,,,,
-0.026,-0.066,-0.04,,,,,,,,,
-0.024,-0.064,-0.039,,,,,,,,,
-0.021,-0.061,-0.039,,,,,,,,,
-0.016,-0.056,-0.04,,,,,,,,,
-0.012,-0.052,-0.04,,,,,,,,,
-0.009,-0.049,-0.039,,,,,,,,,
-0.01,-0.05,-0.039,,,,,,,,,
-0.015,-0.055,-0.04,,,,,,,,,
-0.024,-0.064,-0.04,,,,,,,,,
-0.035,-0.075,-0.039,,,,,,,,,
-0.044,-0.084,-0.039,,,,,,,,,
-0.049,-0.089,-0.04,,,,,,,,,
-0.051,-0.09,-0.04,,,,,,,,,
-0.05,-0.09,-0.039,,,,,,,,,
-0.049,-0.09,-0.039,,,,,,,,,
-0.048,-0.089,-0.04,,,,,,,,,
-0.049,-0.089,-0.04,,,,,,,,,
-0.05,-0.09,-0.039,,,,,,,,,
-0.05,-0.09,-0.039,,,,,,,,,
-0.049,-0.089,-0.04,,,,,,,,,
-0.047,-0.089,-0.042,,,,,,,,,
-0.045,-0.09,-0.044,,,,,,,,,
-0.043,-0.09,-0.046,,,,,,,,,
-0.041,-0.089,-0.048,,,,,,,,,
-0.039,-0.089,-0.05,,,,,,,,,
-0.037,-0.09,-0.052,,,,,,,,,
-0.036,-0.09,-0.054,,,,,,,,,
-0.034,-0.089,-0.055,,,,,,,,,
-0.034,-0.089,-0.055,,,,,,,,,
-0.034,-0.09,-0.054,,,,,,,,,
-0.035,-0.09,-0.054,,,,,,,,,
-0.035,-0.09,-0.054,,,,,,,,,
-0.034,-0.089,-0.055,,,,,,,,,
-0.034,-0.089,-0.055,,,,,,,,,
-0.035,-0.09,-0.054,,,,,,,,,
-0.035,-0.09,-0.054,,,,,,,,,
-0.034,-0.089,-0.055,,,,,,,,,
-0.034,-0.089,-0.055,,,,,,,,,
-0.035,-0.09,-0.054,,,,,,,,,
-0.035,-0.09,-0.054,,,,,,,,,
-0.034,-0.089,-0.055,,,,,,,,,
-0.034,-0.089,-0.055,,,,,,,,,
-0.035,-0.09,-0.054,,,,,,,,,
-0.035,-0.09,-0.054,,,,,,,,,
-0.034,-0.089,-0.055,,,,,,,,,
-0.035,-0.09,-0.055,,,,,,,,,
-0.036,-0.091,-0.054,,,,,,,,,
-0.035,-0.09,-0.054,,,,,,,,,
-0.031,-0.086,-0.055,,,,,,,,,
-0.027,-0.082,-0.055,,,,,,,,,
-0.023,-0.077,-0.054,,,,,,,,,
-0.018,-0.073,-0.054,,,,,,,,,
-0.014,-0.069,-0.055,,,,,,,,,
-0.012,-0.067,-0.055,,,,,,,,,
-0.009,-0.064,-0.054,,,,,,,,,
-0.001,-0.056,-0.054,,,,,,,,,
0.008,-0.047,-0.055,,,,,,,,,
0.007,-0.047,-0.055,,,,,,,,,
-0.012,-0.067,-0.054,,,,,,,,,
-0.04,-0.095,-0.054,,,,,,,,,
-0.057,-0.112,-0.055,,,,,,,,,
-0.055,-0.11,-0.055,,,,,,,,,
-0.043,-0.098,-0.054,,,,,,,,,
-0.035,-0.09,-0.054,,,,,,,,,
-0.031,-0.086,-0.055,,,,,,,,,
-0.029,-0.084,-0.055,,,,,,,,,
-0.025,-0.08,-0.054,,,,,,,,,
-0.019,-0.074,-0.054,,,,,,,,,
-0.009,-0.064,-0.055,,,,,,,,,
-0.001,-0.056,-0.055,,,,,,,,,
-0.005,-0.06,-0.055,,,,,,,,,
-0.025,-0.08,-0.054,,,,,,,,,
-0.052,-0.107,-0.055,,,,,,,,,
-0.071,-0.125,-0.054,,,,,,,,,
-0.075,-0.128,-0.054,,,,,,,,,
-0.07,-0.124,-0.055,,,,,,,,,
-0.063,-0.123,-0.059,,,,,,,,,
-0.058,-0.125,-0.065,,,,,,,,,
-0.053,-0.125,-0.071,,,,,,,,,
-0.05,-0.124,-0.074,,,,,,,,,
-0.049,-0.124,-0.074,,,,,,,,,
-0.05,-0.125,-0.075,,,,,,,,,
-0.05,-0.125,-0.075,,,,,,,,,
-0.049,-0.124,-0.074,,,,,,,,,
-0.049,-0.124,-0.074,,,,,,,,,
-0.05,-0.125,-0.075,,,,,,,,,
-0.05,-0.125,-0.075,,,,,,,,,
-0.049,-0.124,-0.074,,,,,,,,,
-0.049,-0.124,-0.075,,,,,,,,,
-0.048,-0.125,-0.077,,,,,,,,,
-0.046,-0.125,-0.079,,,,,,,,,
-0.044,-0.124,-0.08,,,,,,,,,
-0.044,-0.124,-0.08,,,,,,,,,
-0.045,-0.125,-0.079,,,,,,,,,
-0.045,-0.125,-0.079,,,,,,,,,
-0.044,-0.124,-0.08,,,,,,,,,
-0.044,-0.124,-0.08,,,,,,,,,
-0.045,-0.125,-0.08,,,,,,,,,
-0.045,-0.125,-0.08,,,,,,,,,
-0.044,-0.124,-0.079,,,,,,,,,
-0.044,-0.124,-0.079,,,,,,,,,
-0.045,-0.125,-0.08,,,,,,,,,
-0.045,-0.127,-0.082,,,,,,,,,
-0.044,-0.129,-0.084,,,,,,,,,
-0.044,-0.129,-0.085,,,,,,,,,
-0.045,-0.13,-0.084,,,,,,,,,
-0.045,-0.13,-0.084,,,,,,,,,
-0.044,-0.129,-0.085,,,,,,,,,
-0.044,-0.129,-0.085,,,,,,,,,
-0.045,-0.13,-0.084,,,,,,,,,
-0.045,-0.13,-0.084,,,,,,,,,
-0.045,-0.129,-0.084,,,,,,,,,
-0.044,-0.129,-0.085,,,,,,,,,
-0.044,-0.129,-0.085,,,,,,,,,
-0.045,-0.13,-0.084,,,,,,,,,
-0.045,-0.13,-0.084,,,,,,,,,
-0.044,-0.129,-0.085,,,,,,,,,
-0.044,-0.129,-0.085,,,,,,,,,
-0.045,-0.13,-0.084,,,,,,,,,
-0.045,-0.13,-0.084,,,,,,,,,
-0.044,-0.129,-0.085,,,,,,,,,
-0.044,-0.129,-0.085,,,,,,,,,
-0.045,-0.13,-0.084,,,,,,,,,
-0.045,-0.13,-0.084,,,,,,,,,
-0.044,-0.129,-0.085,,,,,,,,,
-0.044,-0.129,-0.085,,,,,,,,,
-0.045,-0.13,-0.084,,,,,,,,,
-0.045,-0.13,-0.084,,,,,,,,,
-0.044,-0.129,-0.085,,,,,,,,,
-0.045,-0.13,-0.085,,,,,,,,,
-0.047,-0.132,-0.084,,,,,,,,,
-0.049,-0.134,-0.084,,,,,,,,,
-0.05,-0.135,-0.085,,,,,,,,,
-0.05,-0.135,-0.084,,,,,,,,,
-0.049,-0.134,-0.085,,,,,,,,,
-0.048,-0.134,-0.085,,,,,,,,,
-0.049,-0.134,-0.084,,,,,,,,,
-0.05,-0.135,-0.084,,,,,,,,,
-0.052,-0.137,-0.085,,,,,,,,,
-0.054,-0.139,-0.085,,,,,,,,,
-0.055,-0.14,-0.084,,,,,,,,,
-0.054,-0.139,-0.084,,,,,,,,,
-0.055,-0.14,-0.085,,,,,,,,,
-0.055,-0.141,-0.085,,,,,,,,,
-0.055,-0.14,-0.084,,,,,,,,,
-0.052,-0.137,-0.084,,,,,,,,,
-0.048,-0.133,-0.084,,,,,,,,,
-0.044,-0.129,-0.084,,,,,,,,,
-0.042,-0.126,-0.083,,,,,,,,,
-0.041,-0.125,-0.083,,,,,,,,,
-0.037,-0.123,-0.086,,,,,,,,,
-0.031,-0.121,-0.09,,,,,,,,,
-0.024,-0.119,-0.094,,,,,,,,,
-0.02,-0.118,-0.097,,,,,,,,,
-0.017,-0.116,-0.098,,,,,,,,,
-0.014,-0.114,-0.1,,,,,,,,,
-0.01,-0.113,-0.102,,,,,,,,,
-0.005,-0.11,-0.104,,,,,,,,,
0.0,-0.106,-0.105,,,,,,,,,
0.001,-0.103,-0.105,,,,,,,,,
-0.002,-0.106,-0.104,,,,,,,,,
-0.012,-0.115,-0.102,,,,,,,,,
-0.023,-0.123,-0.1,,,,,,,,,
-0.026,-0.126,-0.099,,,,,,,,,
-0.023,-0.123,-0.099,,,,,,,,,
-0.019,-0.118,-0.099,,,,,,,,,
-0.019,-0.116,-0.097,,,,,,,,,
-0.02,-0.115,-0.095,,,,,,,,,
-0.019,-0.113,-0.094,,,,,,,,,
-0.016,-0.111,-0.095,,,,,,,,,
-0.014,-0.109,-0.094,,,,,,,,,
-0.015,-0.108,-0.092,,,,,,,,,
-0.015,-0.106,-0.09,,,,,,,,,
-0.014,-0.104,-0.089,,,,,,,,,
-0.012,-0.102,-0.089,,,,,,,,,
-0.01,-0.099,-0.089,,,,,,,,,
-0.008,-0.096,-0.088,,,,,,,,,
-0.01,-0.096,-0.086,,,,,,,,,
-0.019,-0.104,-0.085,,,,,,,,,
-0.032,-0.117,-0.085,,,,,,,,,
-0.043,-0.128,-0.084,,,,,,,,,
-0.045,-0.129,-0.083,,,,,,,,,
-0.04,-0.121,-0.081,,,,,,,,,
-0.033,-0.113,-0.079,,,,,,,,,
-0.029,-0.108,-0.079,,,,,,,,,
-0.026,-0.106,-0.079,,,,,,,,,
-0.022,-0.101,-0.078,,,,,,,,,
-0.018,-0.094,-0.076,,,,,,,,,
-0.013,-0.088,-0.075,,,,,,,,,
-0.009,-0.084,-0.075,,,,,,,,,
-0.006,-0.081,-0.075,,,,,,,,,
-0.004,-0.078,-0.073,,,,,,,,,
-0.005,-0.076,-0.071,,,,,,,,,
-0.004,-0.075,-0.069,,,,,,,,,
-0.002,-0.073,-0.069,,,,,,,,,
0.0,-0.071,-0.07,,,,,,,,,
0.0,-0.069,-0.069,,,,,,,,,
-0.002,-0.069,-0.067,,,,,,,,,
-0.005,-0.069,-0.065,,,,,,,,,
-0.005,-0.068,-0.063,,,,,,,,,
-0.004,-0.066,-0.061,,,,,,,,,
-0.005,-0.065,-0.059,,,,,,,,,
-0.008,-0.065,-0.057,,,,,,,,,
-0.009,-0.065,-0.055,,,,,,,,,
-0.009,-0.064,-0.054,,,,,,,,,
-0.006,-0.061,-0.054,,,,,,,,,
-0.004,-0.059,-0.054,,,,,,,,,
-0.003,-0.056,-0.053,,,,,,,,,
-0.004,-0.055,-0.051,,,,,,,,,
-0.006,-0.054,-0.048,,,,,,,,,
-0.009,-0.055,-0.045,,,,,,,,,
-0.009,-0.054,-0.044,,,,,,,,,
-0.007,-0.052,-0.045,,,,,,,,,
-0.005,-0.05,-0.045,,,,,,,,,
-0.005,-0.049,-0.044,,,,,,,,,
-0.007,-0.049,-0.042,,,,,,,,,
-0.01,-0.049,-0.039,,,,,,,,,
-0.011,-0.048,-0.037,,,,,,,,,
-0.01,-0.046,-0.035,,,,,,,,,
-0.009,-0.044,-0.034,,,,,,,,,
-0.007,-0.042,-0.035,,,,,,,,,
-0.005,-0.04,-0.034,,,,,,,,,
-0.004,-0.038,-0.033,,,,,,,,,
-0.005,-0.036,-0.031,,,,,,,,,
-0.004,-0.034,-0.029,,,,,,,,,
-0.003,-0.032,-0.029,,,,,,,,,
0.0,-0.03,-0.03,,,,,,,,,
0.002,-0.028,-0.031,,,,,,,,,
0.004,-0.026,-0.03,,,,,,,,,
0.004,-0.024,-0.029,,,,,,,,,
0.005,-0.022,-0.027,,,,,,,,,
0.005,-0.02,-0.026,,,,,,,,,
0.006,-0.018,-0.024,,,,,,,,,
0.007,-0.016,-0.024,,,,,,,,,
0.01,-0.014,-0.024,,,,,,,,,
0.011,-0.014,-0.025,,,,,,,,,
0.011,-0.014,-0.025,,,,,,,,,
0.009,-0.015,-0.023,,,,,,,,,
0.007,-0.015,-0.022,,,,,,,,,
0.005,-0.014,-0.02,,,,,,,,,
0.003,-0.014,-0.018,,,,,,,,,
0.001,-0.015,-0.016,,,,,,,,,
0.0,-0.015,-0.014,,,,,,,,,
-0.002,-0.014,-0.012,,,,,,,,,
-0.004,-0.014,-0.01,,,,,,,,,
-0.005,-0.015,-0.009,,,,,,,,,
-0.005,-0.015,-0.009,,,,,,,,,
-0.004,-0.014,-0.01,,,,,,,,,
-0.003,-0.012,-0.008,,,,,,,,,
-0.004,-0.01,-0.006,,,,,,,,,
-0.006,-0.009,-0.003,,,,,,,,,
-0.008,-0.008,0.0,,,,,,,,,
-0.009,-0.009,0.0,,,,,,,,,
-0.01,-0.01,0.0,,,,,,,,,
-0.009,-0.01,0.0,,,,,,,,,
-0.01,-0.009,0.0,,,,,,,,,
-0.012,-0.009,0.002,,,,,,,,,
-0.015,-0.01,0.005,,,,,,,,,
-0.017,-0.01,0.006,,,,,,,,,
-0.018,-0.009,0.008,,,,,,,,,
-0.02,-0.009,0.01,,,,,,,,,
-0.021,-0.01,0.011,,,,,,,,,
-0.02,-0.009,0.01,,,,,,,,,
-0.016,-0.008,0.008,,,,,,,,,
-0.012,-0.006,0.006,,,,,,,,,
-0.009,-0.004,0.004,,,,,,,,,
-0.009,-0.004,0.004,,,,,,,,,
-0.01,-0.005,0.005,,,,,,,,,
-0.01,-0.005,0.005,,,,,,,,,
-0.009,-0.004,0.004,,,,,,,,,
-0.009,-0.005,0.004,,,,,,,,,
-0.009,-0.004,0.005,,,,,,,,,
-0.009,-0.004,0.005,,,,,,,,,
-0.01,-0.005,0.004,,,,,,,,,
-0.01,-0.005,0.004,,,,,,,,,
-0.009,-0.005,0.005,,,,,,,,,
-0.008,-0.003,0.004,,,,,,,,,
-0.007,-0.002,0.004,,,,,,,,,
-0.012,-0.007,0.005,,,,,,,,,
-0.022,-0.017,0.005,,,,,,,,,
-0.029,-0.024,0.004,,,,,,,,,
-0.029,-0.024,0.004,,,,,,,,,
-0.024,-0.019,0.005,,,,,,,,,
-0.018,-0.013,0.005,,,,,,,,,
-0.016,-0.011,0.004,,,,,,,,,
-0.015,-0.01,0.004,,,,,,,,,
-0.012,-0.007,0.005,,,,,,,,,
-0.008,-0.003,0.005,,,,,,,,,
-0.004,0.0,0.004,,,,,,,,,
-0.002,0.002,0.004,,,,,,,,,
0.0,0.004,0.005,,,,,,,,,
0.001,0.006,0.005,,,,,,,,,
0.005,0.01,0.004,,,,,,,,,
0.01,0.015,0.004,,,,,,,,,
0.015,0.02,0.005,,,,,,,,,
0.016,0.021,0.005,,,,,,,,,
0.011,0.016,0.004,,,,,,,,,
0.0,0.004,0.004,,,,,,,,,
-0.014,-0.009,0.005,,,,,,,,,
-0.027,-0.022,0.005,,,,,,,,,
-0.037,-0.031,0.004,,,,,,,,,
-0.04,-0.035,0.004,,,,,,,,,
-0.039,-0.034,0.005,,,,,,,,,
-0.035,-0.03,0.005,,,,,,,,,
-0.033,-0.028,0.004,,,,,,,,,
-0.034,-0.029,0.004,,,,,,,,,
